item_id,name,class,subclass
222879,Paño para pulir lustroso,Habilidad comercial,Componentes de finalización
194863,Pino retorcido con runas,Habilidad comercial,Inscripción
138979,Cheddar picante penetrante,Consumible,Comida y bebida
83095,Cerveza de Lagrave,Consumible,Comida y bebida
29739,Escrito Arcano,Misión,Misión
24291,Zarcillo de señor de la marisma,Misión,Misión
220143,Lucio de Dorn,Habilidad comercial,Cocina
52155,Piedra nocturna destellante perfecta,Gema,Varias estadísticas
220279,Puñado de escamas pulidas,Miscelánea,Chatarra
124671,Aguardiente de la Luna Negra,Consumible,Pociones
213739,Blasfemita perspicaz,Gema,Otros
2675,Garra de reptador,Habilidad comercial,Cocina
7971,Perla negra,Habilidad comercial,Joyería
213507,Ámbar magistral,Gema,Varias estadísticas
74859,Salmón emperador,Habilidad comercial,Cocina
19259,Dos de Señores de la Guerra,Habilidad comercial,Inscripción
44739,Mira refractaria de corte de diamante,Consumible,Explosivos y dispositivos
191471,Pino retorcido,Habilidad comercial,Hierbas
68779,Diamante de espíritu de las Sombras resonante,Gema,Otros
8831,Loto cárdeno,Habilidad comercial,Hierbas
210803,Orbínida,Habilidad comercial,Hierbas
33459,Pergamino de protección VI,Consumible,Otros
222727,Delicia del pescador,Consumible,Comida y bebida
220299,Pico lustroso,Miscelánea,Chatarra
124439,Diente sin romper,Habilidad comercial,Otros
217707,Piedra nula imperfecta,Habilidad comercial,Metal y piedra
159,Agua de manantial refrescante,Consumible,Comida y bebida
222655,Dos de Simbiosis,Habilidad comercial,Inscripción
173759,Corteza brillante confitada,Consumible,Comida y bebida
5363,Pañuelo doblado,Miscelánea,Chatarra
14047,Paño rúnico,Habilidad comercial,Tela
18255,Tubérculo runtún,Consumible,Comida y bebida
139311,Grimorio de Señor del Vacío,Glifo,Brujo
128839,Cuernoviejo ahumado,Consumible,Comida y bebida
38855,Encantar brazales: aguante excelente,Mejora de objetos,Muñecas
76643,Jade salvaje de sensei,Gema,Varias estadísticas
220219,Montón de tierra de la noche,Miscelánea,Chatarra
109219,Poción de fuerza draénica,Consumible,Pociones
211879,Poción de sanación algariana,Consumible,Pociones
153487,Granada de desconcierto orgánico,Consumible,Explosivos y dispositivos
7079,Globo de agua,Habilidad comercial,Elemental
32715,Garfas de Akkarai,Misión,Misión
43851,Retales de ropas de pelaje,Miscelánea,Chatarra
239115,Ticket de P.R.I.N.G.A.O.,Miscelánea,Chatarra
76659,Ónice bermellón artesano,Gema,Varias estadísticas
213463,Rubí mortal,Gema,Golpe crítico
33631,Garra escarchada,Miscelánea,Chatarra
142335,Pluma de falcosaurio prístina,Habilidad comercial,Otros
191323,Ampolla de aire tranquilo,Consumible,Frascos y ampollas
222695,Hierbas trenzadas,Habilidad comercial,Cocina
36907,Rosa de Talandra,Habilidad comercial,Hierbas
8171,Pellejo basto,Habilidad comercial,Cuero
12207,Huevo gigante,Habilidad comercial,Cocina
223759,Encantar arma: Astucia del consejo,Mejora de objetos,Arma
3355,Acérita salvaje,Habilidad comercial,Hierbas
198487,Agua iridiscente,Habilidad comercial,Inscripción
152543,Recorrearena,Habilidad comercial,Cocina
168583,Flor de viuda,Habilidad comercial,Hierbas
140587,Runa de aumento profanada,Consumible,Otros
220139,Ojoestelar susurrante,Habilidad comercial,Cocina
142263,Fluido de máquina,Consumible,Otros
43011,Anca de huargo,Habilidad comercial,Cocina
173035,Macabijo marcado,Habilidad comercial,Cocina
210931,Bismuto,Habilidad comercial,Metal y piedra
108439,Bastón de predicador de un clan de Draenor,Habilidad comercial,Otros
222603,Contrato: Arathi de Santificación,Consumible,Otros
191331,Ampolla de aislamiento cargado,Consumible,Frascos y ampollas
220283,Soplo de píleo,Miscelánea,Chatarra
3819,Dientes de dragón,Habilidad comercial,Hierbas
190331,Descomposición despierta,Habilidad comercial,Elemental
76079,Elixir de paz,Consumible,Elixires
237259,Canapés kapum,Consumible,Explosivos y dispositivos
22871,Poción de velo,Consumible,Pociones
108351,Hoja de cardo de maná,Habilidad comercial,Hierbas
113263,Tierra hechicera,Habilidad comercial,Elemental
52327,Tierra volátil,Habilidad comercial,Elemental
187635,Celosía de cérvido,Miscelánea,Chatarra
52767,Encantar capa: protección,Mejora de objetos,Capa
24539,Liquen de pantano,Consumible,Comida y bebida
76551,Pistacita reprensiva,Gema,Varias estadísticas
12811,Orbe recto,Habilidad comercial,Otros
201723,Páginas indescifrables,Miscelánea,Chatarra
172347,Refuerzo para armadura desolado pesado,Mejora de objetos,Miscelánea
152559,Poción de muerte acuciante,Consumible,Pociones
193259,Escama de protodragón impecable,Habilidad comercial,Cuero
179267,Fluochampiñón del Cenagal del Fin,Consumible,Comida y bebida
152579,Mena de plata de tormenta,Habilidad comercial,Metal y piedra
36923,Calcedonia,Habilidad comercial,Joyería
173103,Siete de Indómito,Habilidad comercial,Inscripción
180055,Reliquia del pasado I,Habilidad comercial,Componentes opcionales
193939,Rollo de tejido azur,Habilidad comercial,Tela
40067,Poción de maná helada,Consumible,Pociones
76507,Alejandrita brumosa,Gema,Varias estadísticas
198419,Pigmento ardiente,Habilidad comercial,Inscripción
112183,Fragmento de dragontina abisal,Habilidad comercial,Cuero
228231,Tejetela,Habilidad comercial,Tela
53039,Barra de elementium endurecido,Habilidad comercial,Metal y piedra
220135,Perca sangrienta,Habilidad comercial,Cocina
4235,Pellejo pesado,Habilidad comercial,Cuero
40391,Concha espejo,Miscelánea,Chatarra
192871,Diamante ilimitado,Habilidad comercial,Joyería
212511,Ónice ostentoso,Habilidad comercial,Joyería
202071,Mota elemental,Miscelánea,Chatarra
122343,Sushi de coto,Consumible,Comida y bebida
212279,Frasco de maestría templada,Consumible,Frascos y ampollas
5467,Carne de kodo,Habilidad comercial,Cocina
3771,Pata de marrano salvaje,Consumible,Comida y bebida
210799,Cebo mortal,Habilidad comercial,Hierbas
220243,Pluma de cola elocuente,Miscelánea,Chatarra
221935,Faltriquera de granadas de bolsillo,Habilidad comercial,Componentes opcionales
128315,Medallón de la Legión,Consumible,Otros
109127,Estelaria,Habilidad comercial,Hierbas
213219,Gemas machacadas,Habilidad comercial,Joyería
163143,Bebida negra ardiente,Consumible,Comida y bebida
63299,Vino beso de sol,Consumible,Comida y bebida
192887,Armonía elemental,Habilidad comercial,Elemental
227771,Fluido de saltarina,Habilidad comercial,Piezas
222659,Seis de Simbiosis,Habilidad comercial,Inscripción
201399,Espinazo de oso primigenio,Habilidad comercial,Otros
198299,Modificación: desplazador interplanar,Gema,Otros
197743,Filete de ave fluvial,Habilidad comercial,Cocina
190451,Vesania reanimadora,Habilidad comercial,Elemental
41167,Mira buscacorazones,Consumible,Explosivos y dispositivos
226035,Runa vantus: Palacio Nerub'ar,Consumible,Runas vantus
199951,Encantar capa: pliego de parasitar,Mejora de objetos,Capa
52183,Mena de pirita,Habilidad comercial,Metal y piedra
235255,Dados resistentes,Consumible,Otros
192647,Pizca terrestre,Miscelánea,Chatarra
220147,Tiburón de arrabal kaheti,Habilidad comercial,Cocina
235335,Refuerzo para armadura cargado,Mejora de objetos,Piernas
222511,Armazón ajustable,Habilidad comercial,Componentes de finalización
110655,Encantar capa: ofrenda de golpe crítico,Mejora de objetos,Capa
74863,Danio enjoyado,Habilidad comercial,Cocina
58279,Micelio sabroso,Consumible,Comida y bebida
3383,Elixir de sabiduría,Consumible,Elixires
172059,Leche enriquecida de rumiante,Habilidad comercial,Cocina
4407,Mira de precisión,Consumible,Explosivos y dispositivos
31915,Siete de Locuras,Habilidad comercial,Inscripción
213467,Zafiro mortal,Gema,Varias estadísticas
116407,Pavo ahumado a fuego lento,Consumible,Comida y bebida
187707,Esencia de progenitor,Habilidad comercial,Elemental
3775,Vial de veneno vacío,Consumible,Otros
180879,Raspador de hueso áspero,Miscelánea,Chatarra
20867,Ídolo de ónice,Misión,Misión
2771,Mena de estaño,Habilidad comercial,Metal y piedra
200507,Esqueje despierto en descomposición,Consumible,Otros
17771,Barra de elementium encantado,Habilidad comercial,Metal y piedra
174351,K'Bab,Consumible,Comida y bebida
72103,Mena de trillium blanco,Habilidad comercial,Metal y piedra
22203,Fragmento de obsidiana grande,Habilidad comercial,Metal y piedra
31679,Elixir de fuerza vil,Consumible,Elixires
13467,Setelo,Habilidad comercial,Hierbas
193955,Paño para pulir vibrante,Habilidad comercial,Componentes de finalización
193559,Refuerzo para armadura reforzada,Mejora de objetos,Piernas
19235,Siete de Bestias,Habilidad comercial,Inscripción
192951,Ysmeralda energizada,Gema,Otros
222871,Forro de hilo crepuscular,Habilidad comercial,Componentes opcionales
14343,Fragmento luminoso pequeño,Habilidad comercial,Encantamiento
62019,Ocho de Olas,Habilidad comercial,Inscripción
104127,Glifo de Ancestros persistentes,Glifo,Chamán
224359,Encantamiento alegre - Orco Mag'har,Consumible,Otros
219903,Cubrearmas tocado por la tormenta,Habilidad comercial,Cuero
32063,Elixir terráneo,Consumible,Elixires
171271,Poción de sombras endurecidas,Consumible,Pociones
43463,Pergamino de agilidad VII,Consumible,Otros
42931,Engranaje sin dientes,Miscelánea,Chatarra
3827,Poción de maná,Consumible,Pociones
4611,Perla azul,Habilidad comercial,Piezas
43987,Encantar arma: magia negra,Mejora de objetos,Arma
168215,Ensamblaje de engranaje automático,Miscelánea,Chatarra
33567,Trocitos de cuero boreal,Habilidad comercial,Cuero
183955,Sal de curtido,Habilidad comercial,Otros
787,Caballa de piel escurridiza,Consumible,Comida y bebida
168487,Zin'anthid,Habilidad comercial,Hierbas
13759,Pargo nocturno crudo,Habilidad comercial,Cocina
123919,Pizarra vil,Habilidad comercial,Metal y piedra
220251,Agallas pálidas,Miscelánea,Chatarra
190395,Mena de serevita,Habilidad comercial,Metal y piedra
193951,Paño para pulir abrasivo,Habilidad comercial,Componentes de finalización
12803,Esencia viva,Habilidad comercial,Elemental
27667,Cigala picante,Consumible,Comida y bebida
192923,Alexstraszita radiante,Gema,Otros
54819,Documentos empapados,Miscelánea,Chatarra
222683,Tres de Ascensión,Habilidad comercial,Inscripción
210935,Aqirita,Habilidad comercial,Metal y piedra
89683,Hozen Cuervo,Consumible,Comida y bebida
222615,Tinta cálida,Habilidad comercial,Inscripción
194787,Tres de Fuego,Habilidad comercial,Inscripción
192895,Polvo de salvadera,Habilidad comercial,Componentes de finalización
213235,,,
228507,Saco de huevos de enjambrille,Miscelánea,Chatarra
199051,Sigilo escamazur,Habilidad comercial,Componentes opcionales
52147,Grosularia pujante perfecta,Gema,Varias estadísticas
24479,Perla oscura,Habilidad comercial,Joyería
172359,Encantar anillo: trato de maestría,Mejora de objetos,Dedo
192611,Torrente embotellado,Miscelánea,Chatarra
46023,Novela romántica tórrida: Expuesto a Rasganorte,Miscelánea,Chatarra
102543,Queso Mogu'shan curado,Habilidad comercial,Cocina
221763,Seta embelesadora veridiana,Habilidad comercial,Otros
224327,Encantamiento alegre - Enano,Consumible,Otros
1711,Pergamino de aguante II,Consumible,Otros
213759,Prisma invertido,Habilidad comercial,Joyería
118007,Cohete mecaexplosivo,Consumible,Explosivos y dispositivos
222423,Aleación santificada,Habilidad comercial,Metal y piedra
13447,Elixir de los sabios,Consumible,Elixires
225567,Pechuga de bicho,Habilidad comercial,Cocina
193251,Pelaje espinacristal,Habilidad comercial,Cuero
3575,Barra de hierro,Habilidad comercial,Metal y piedra
13159,Polvo de huesos,Misión,Misión
219907,Refuerzo para armadura de defensor,Mejora de objetos,Piernas
6359,Pargo de fuego,Habilidad comercial,Otros
38679,Encantar brazales: salud menor,Mejora de objetos,Muñecas
198255,Interruptor de seguridad calibrado,Habilidad comercial,Componentes opcionales
191475,Vial dracónico,Habilidad comercial,Otros
138875,Cristal Ley pequeño,Miscelánea,Componente
35947,Fungiescarcha chispeante,Consumible,Comida y bebida
234387,Inyector de combustible de Vaporio,Miscelánea,Otros
228395,Cúmulo de fango,Miscelánea,Otros
173067,Runa vantus: Castillo de Nathria,Consumible,Runas vantus
212495,Rubí radiante,Habilidad comercial,Joyería
203763,Glifo del armamento arrojado,Glifo,Guerrero
110631,Encantar capa: aliento de golpe crítico,Mejora de objetos,Capa
43123,Tinta del cielo,Habilidad comercial,Inscripción
182123,Tequila de agave matador añejo,Consumible,Comida y bebida
3823,Poción de invisibilidad inferior,Consumible,Pociones
194795,Tres de Escarcha,Habilidad comercial,Inscripción
39955,Citrino enorme diestro,Gema,Varias estadísticas
9187,Elixir de agilidad superior,Consumible,Elixires
3663,Sopa de aleta de múrloc,Consumible,Comida y bebida
19943,Mojo macizo,Habilidad comercial,Otros
201991,Sello de Sargha,Misión,Misión
191383,Poción elemental de poder definitivo,Consumible,Pociones
38827,Encantar guantes: Agilidad,Mejora de objetos,Manos
173083,Cinco de Reposo,Habilidad comercial,Inscripción
1015,Costillar de lobo magro,Habilidad comercial,Cocina
222711,Plato contundente,Consumible,Comida y bebida
200579,Misiva dracónica de percepción,Habilidad comercial,Componentes opcionales
63127,Pergamino de Altonato,Habilidad comercial,Otros
44279,Tres de Caos,Habilidad comercial,Inscripción
173163,Misiva de versatilidad,Habilidad comercial,Componentes opcionales
128983,Novela romántica tórrida: Olas de deseo,Miscelánea,Chatarra
111603,Venda antiséptica,Consumible,Vendas
109123,Aceite de media luna,Habilidad comercial,Otros
7911,Mena de veraplata,Habilidad comercial,Metal y piedra
2319,Cuero medio,Habilidad comercial,Cuero
76527,Ópalo tigre artesano,Gema,Varias estadísticas
234287,Enfoque radiante,Consumible,Otros
191351,Poción de fatalidad congelada,Consumible,Pociones
223699,Encantar herramienta: Inventiva algariana,Mejora de objetos,Miscelánea
133579,Festín copioso de Suramar,Consumible,Comida y bebida
105703,Brebaje de Cerveza de Trueno,Consumible,Comida y bebida
223799,Encantar capa: Cántico de rapidez enterradora,Mejora de objetos,Capa
37147,Dos de Espadas,Habilidad comercial,Inscripción
44287,Dos de No-muertos,Habilidad comercial,Inscripción
34599,Antorcha de malabarismos,Consumible,Otros
153635,Pigmento azul ultramarino,Habilidad comercial,Inscripción
191319,Ampolla del Ojo en la Tormenta,Consumible,Frascos y ampollas
52987,Jazmín crepuscular,Habilidad comercial,Hierbas
163691,Esencia ardiente,Miscelánea,Chatarra
137239,Glifo de Gancho,Glifo,Cazador
41163,Barra de titanio,Habilidad comercial,Metal y piedra
52759,Encantar guantes: celeridad superior,Mejora de objetos,Manos
76655,Jade salvaje maldito,Gema,Varias estadísticas
25707,Pelaje vil,Habilidad comercial,Cuero
171831,Mena de faedro,Habilidad comercial,Metal y piedra
173123,Doblete de joyas versátiles,Gema,Versatilidad
223703,Encantar herramienta: Percepción algariana,Mejora de objetos,Miscelánea
193247,Escamas de congelamiento,Habilidad comercial,Cuero
53071,Aletalga de roca,Habilidad comercial,Cocina
232635,Venda de Pantoque rasgada,Miscelánea,Chatarra
124107,Pez reina maldito,Habilidad comercial,Cocina
27855,Pan integral Mag'har,Consumible,Comida y bebida
222687,Siete de Ascensión,Habilidad comercial,Inscripción
30183,Vórtice abisal,Habilidad comercial,Elemental
147775,Disruptor de portal abisal,Miscelánea,Componente
43551,Glifo de Manada impía,Glifo,Caballero de la Muerte
212675,Caparazón del sol ausente,Habilidad comercial,Cuero
44271,Cuatro de Nobles,Habilidad comercial,Inscripción
116147,Fuegos artificiales de la Alianza,Consumible,Otros
23427,Mena de eternio,Habilidad comercial,Metal y piedra
200791,Sedal de pelo de nutrión trenzado,Consumible,Explosivos y dispositivos
193211,Cuero resistente,Habilidad comercial,Cuero
153435,Encantar guantes: topografía de Kul Tiras,Mejora de objetos,Manos
162515,Salmón de medianoche,Habilidad comercial,Otros
15419,Cuero de oso de guerra,Habilidad comercial,Cuero
220271,Cúmulo mullido,Miscelánea,Chatarra
222675,Cuatro de Vivacidad,Habilidad comercial,Inscripción
35623,Aire eterno,Habilidad comercial,Elemental
27515,Colavil con manchas enorme,Habilidad comercial,Cocina
197747,Costillar de mamut poderoso,Habilidad comercial,Cocina
220255,Residuo oscurecido,Miscelánea,Chatarra
163223,Poción de batalla de agilidad,Consumible,Pociones
78883,Aguardiente de la Luna Negra,Consumible,Elixires
2287,Anca de carne,Consumible,Comida y bebida
222499,Armazón forjado,Habilidad comercial,Componentes de finalización
40119,Circón majestuoso sólido,Gema,Aguante
2947,Cuchillo arrojadizo pequeño roto,Miscelánea,Chatarra
128843,Uvas de Azsuna,Consumible,Comida y bebida
182715,Cajón vacío,Miscelánea,Chatarra
113135,Comodín de Hierro,Misión,Misión
192623,Garra de protodragón enorme,Miscelánea,Chatarra
219887,Pellejo tembloroso,Habilidad comercial,Cuero
108339,Hoja de hojasueño,Habilidad comercial,Hierbas
137287,Glifo de Raptor espectral,Glifo,Chamán
16023,Muñeco-diana magistral,Consumible,Explosivos y dispositivos
79299,As de Grullas,Habilidad comercial,Inscripción
218339,Pelambre de cenizabeja ardiente,Habilidad comercial,Cuero
194691,Zumo de bayas artesanal,Consumible,Comida y bebida
13443,Poción de maná excelente,Consumible,Pociones
23447,Barra de eternio,Habilidad comercial,Metal y piedra
104339,Fideos del río armonioso,Consumible,Comida y bebida
200039,Encantar anillo: devoción de maestría,Mejora de objetos,Dedo
108347,Hoja de teropiña,Habilidad comercial,Hierbas
158327,Mira de prontitud de monelita,Consumible,Explosivos y dispositivos
67407,Anzuelos de bronce enredados,Miscelánea,Chatarra
154883,Tartaletas de bayas de cuervo,Consumible,Comida y bebida
18631,Transformador de veraplata,Habilidad comercial,Piezas
116271,Elixir de respiración acuática draénico,Consumible,Elixires
4339,Madeja de tejido mágico,Habilidad comercial,Tela
169451,Poción de sanación abisal,Consumible,Pociones
223663,Encantar anillo: Celeridad brillante,Mejora de objetos,Dedo
154891,Lomo adobado,Consumible,Comida y bebida
41511,Madeja de tejido de Escarcha imbuido,Habilidad comercial,Tela
220247,Polvo para pulir,Miscelánea,Chatarra
6887,Serviola moteada,Consumible,Comida y bebida
25699,Cuero imbuido de cristales,Habilidad comercial,Cuero
38943,Encantar botas: presteza felina,Mejora de objetos,Pies
159879,Budín de Valarroyo,Consumible,Comida y bebida
52123,Jaspe resistente,Gema,Varias estadísticas
39671,Poción de sanación resurgente,Consumible,Pociones
4375,Cacharros zumbones de bronce,Habilidad comercial,Piezas
24243,Partículas de adamantita,Habilidad comercial,Joyería
194819,Runa aulladora,Consumible,Otros
152547,Gran siluro de mar,Habilidad comercial,Cocina
36919,Rubí cárdeno,Habilidad comercial,Joyería
172935,Abrasivo de pulido poroso,Habilidad comercial,Piezas
163899,Aguja de navegación de hueso,Miscelánea,Chatarra
224322,Encantamiento alegre - Huargen,Consumible,Otros
220146,Perca enana,Habilidad comercial,Cocina
235910,Moneda del aniversario de El Gallagio en perfecto estado,Miscelánea,Chatarra
136562,Licor de las profundidades,Consumible,Comida y bebida
22790,Liquen antiguo,Habilidad comercial,Hierbas
86074,Verduras crujientes picantes,Consumible,Comida y bebida
2770,Mena de cobre,Habilidad comercial,Metal y piedra
218338,Tormenta embotellada,Habilidad comercial,Cuero
109226,Poción de rejuvenecimiento draénica,Consumible,Pociones
198310,Caleidoscopio giroscópico,Mejora de objetos,Arma de dos manos
183950,Extracto de muerte destilada,Habilidad comercial,Piezas
168586,Gloria creciente,Habilidad comercial,Hierbas
179314,Carne de reptador insidioso,Habilidad comercial,Cocina
222802,Rollo de tejido del amanecer,Habilidad comercial,Tela
220138,Pececillo mordedor,Habilidad comercial,Cocina
224342,Encantamiento alegre - Trol,Consumible,Otros
76650,Jade salvaje destrozado,Gema,Varias estadísticas
53038,Mena de obsidium,Habilidad comercial,Metal y piedra
19306,Rana crujiente,Consumible,Comida y bebida
4234,Cuero pesado,Habilidad comercial,Cuero
204730,Larvalarva,Consumible,Comida y bebida
133570,Magister hambriento,Consumible,Comida y bebida
22450,Cristal de Vacío,Habilidad comercial,Encantamiento
53010,Paño de seda de ascuas,Habilidad comercial,Tela
8150,Sal de roca,Habilidad comercial,Cuero
220150,Cuervo marino con pinchos,Habilidad comercial,Cocina
5498,Perla lustrosa pequeña,Habilidad comercial,Joyería
192878,Lente sin marco,Habilidad comercial,Joyería
52098,Piedra nocturna intemporal,Gema,Varias estadísticas
219898,Banda de armadura quitinosa,Habilidad comercial,Cuero
2838,Piedra pesada,Habilidad comercial,Metal y piedra
4342,Tinte morado,Habilidad comercial,Otros
74654,Ave silvestre asada,Consumible,Comida y bebida
189542,Aleación de magma primigenio,Habilidad comercial,Metal y piedra
52182,Jaspe,Habilidad comercial,Joyería
62238,Roca de origami,Consumible,Otros
33454,Carne de venado salada,Consumible,Comida y bebida
219950,Fragmento reluciente,Habilidad comercial,Encantamiento
2450,Brezospina,Habilidad comercial,Hierbas
176874,Húmero desecado,Miscelánea,Chatarra
192658,Hoja alta en fibra,Miscelánea,Chatarra
197754,Depósito de sal,Habilidad comercial,Cocina
223898,Tornillos sueltos,Miscelánea,Chatarra
89326,Semillas de moruja,Consumible,Otros
210798,Micoflor,Habilidad comercial,Hierbas
220246,Núcleo de energía zumbante,Miscelánea,Chatarra
153050,Brilloescama,Habilidad comercial,Cuero
22578,Mota de agua,Habilidad comercial,Elemental
3770,Pata de cordero,Consumible,Comida y bebida
222686,Seis de Ascensión,Habilidad comercial,Inscripción
190322,Orden reanimador,Habilidad comercial,Elemental
212666,Cuero cargado de tormenta,Habilidad comercial,Cuero
190314,Mena de khaz'gorita,Habilidad comercial,Metal y piedra
224826,Tejido del amanecer,Habilidad comercial,Tela
234418,Engranajes de Vaporio,Miscelánea,Otros
222678,Siete de Vivacidad,Habilidad comercial,Inscripción
22786,Gloria de ensueño,Habilidad comercial,Hierbas
211806,Vial dorado,Habilidad comercial,Otros
202070,Piel excepcional,Miscelánea,Chatarra
212674,Caparazón del sol ausente,Habilidad comercial,Cuero
44618,Copa de vino tinto de Dalaran de crianza,Consumible,Comida y bebida
177962,Encantar pechera: Estadísticas eternas,Mejora de objetos,Torso
33470,Tela de tejido de Escarcha,Habilidad comercial,Tela
44330,Elixir de Perforar armadura,Consumible,Elixires
79294,Cuatro de Bueyes,Habilidad comercial,Inscripción
221914,Engranaje revolucionado,Habilidad comercial,Componentes opcionales
221758,Caja de yesca profanada,Habilidad comercial,Otros
72094,Mena de trillium negro,Habilidad comercial,Metal y piedra
220282,Mechón de bigotes,Miscelánea,Chatarra
3670,Hueso viscoso grande,Miscelánea,Chatarra
132510,Carga de pólvora,Consumible,Explosivos y dispositivos
39682,Condensador sobrecargado,Habilidad comercial,Piezas
173034,Lucio platabranquia,Habilidad comercial,Cocina
158862,Polvo de tumba antigua,Miscelánea,Chatarra
222626,Misiva algariana de inventiva,Habilidad comercial,Componentes opcionales
193922,Tela salvaje,Habilidad comercial,Tela
58262,Marlín crudo en rodajas,Consumible,Comida y bebida
43854,Llave esqueleto de cobalto,Consumible,Otros
193946,Forro de seda azul,Habilidad comercial,Componentes opcionales
172146,Carne de oso almibarada,Miscelánea,Chatarra
205014,Modificación: cohetes de Pirosombra,Gema,Otros
192954,Ysmeralda rápida,Gema,Otros
4558,Barrica vacía,Miscelánea,Chatarra
172054,Ala seráfica cruda,Habilidad comercial,Cocina
222418,Núcleo de aleación,Habilidad comercial,Metal y piedra
36906,Espina de hielo,Habilidad comercial,Hierbas
36922,Ámbar del rey,Habilidad comercial,Joyería
8766,Rocío de gloria matinal,Consumible,Comida y bebida
58146,Poción de sangre de gólem,Consumible,Pociones
38798,Encantar pechera: amortiguación inferior,Mejora de objetos,Torso
7974,Carne de almeja sabrosa,Habilidad comercial,Cocina
224330,Encantamiento alegre - Goblin,Consumible,Otros
197746,Falda de brúfalo,Habilidad comercial,Cocina
213750,Tallador de gemas grabado,Habilidad comercial,Joyería
210938,Mena de colmilloférreo,Habilidad comercial,Metal y piedra
223778,Encantar arma: Autoridad de resolución fiera,Mejora de objetos,Arma
31882,As de Bendiciones,Habilidad comercial,Inscripción
39222,Aleta cercenada,Miscelánea,Chatarra
124106,Matojo vil,Habilidad comercial,Hierbas
76138,Corazón de río,Habilidad comercial,Joyería
212266,Poción del guepardo renacido,Consumible,Pociones
37094,Pergamino de aguante VIII,Consumible,Otros
219946,Polvo de tormenta,Habilidad comercial,Encantamiento
194798,Seis de Escarcha,Habilidad comercial,Inscripción
23782,Envoltura de hierro vil,Habilidad comercial,Piezas
81414,Té con perlas de tapioca,Consumible,Comida y bebida
